1,2,100
0,79,7
0,50,91
1,8,90
0,37,78
0,66,37
1,8,58
0,95,1
1,12,68
0,100,37
0,87,37
0,45,53
0,64,87
0,70,57
0,74,3
0,47,7
0,17,0
0,87,57
0,45,44
0,30,39
0,46,85
0,54,12
0,25,14
0,67,21
0,74,80
1,8,48
0,97,46
0,76,88
0,86,75
0,76,62
0,67,38
0,15,48
0,42,12
0,60,40
0,63,100
0,21,5
0,89,70
0,90,10
0,92,12
0,78,61
0,59,84
0,38,68
0,55,74
0,86,43
0,69,26
0,20,33
0,43,66
0,63,33
1,8,51
1,2,32
0,84,80
0,85,91
0,88,79
0,59,4
1,0,37
0,86,10
0,54,25
0,50,14
0,87,70
0,99,5
0,11,29
0,55,51
1,21,85
0,49,4
0,91,53
0,100,90
0,58,14
0,34,81
0,79,37
0,65,19
0,57,57
0,41,18
0,72,42
1,2,24
0,66,64
1,4,53
0,56,95
0,41,40
1,24,91
0,57,15
0,34,98
0,49,52
0,27,25
0,45,41
0,90,57
1,9,58
1,1,58
0,10,33
0,68,40
0,59,43
0,46,49
0,46,73
0,46,1
0,21,46
0,76,47
0,67,53
0,91,76
1,10,81
1,6,90
0,45,46
1,4,23
1,23,95
1,10,94
0,48,57
0,62,94
0,8,21
0,28,13
0,82,79
0,24,39
0,77,94
0,43,19
0,43,34
0,85,82
0,50,97
1,6,77
0,68,15
0,87,69
1,9,53
1,3,57
0,63,12
0,35,46
0,98,8
0,55,62
0,79,13
1,2,68
0,67,82
0,69,70
0,93,45
0,68,68
0,98,11
0,5,16
0,90,53
0,29,90
0,93,88
0,30,93
0,82,60
0,60,16
0,47,20
1,31,100
0,48,80
0,85,78
0,99,28
1,10,100
0,34,18
0,54,2
0,28,59
0,63,21
0,61,2
0,79,18
1,19,76
1,8,90
1,20,66
0,23,29
0,60,55
0,11,1
0,52,90
0,66,2
0,54,40
0,68,83
1,21,88
0,61,97
0,22,15
0,43,6
0,14,40
0,27,82
0,54,15
0,99,60
0,67,32
0,29,6
0,45,85
0,49,89
0,63,91
0,43,34
0,96,78
0,87,93
0,46,51
0,77,66
0,99,26
0,90,52
0,63,29
0,39,54
0,70,18
0,99,67
1,10,91
0,53,32
0,32,25
0,30,46
0,94,53
0,20,11
0,80,33
0,30,21
0,69,90
0,68,51
0,34,89
1,1,98
0,87,12
1,18,65
0,78,52
0,38,8
0,94,8
0,36,41
1,1,80
0,31,21
1,21,87
0,63,0
0,78,79
0,33,86
0,58,2
0,62,51
0,74,97
0,21,3
1,6,50
1,5,41
0,43,59
1,0,26
0,53,64
0,47,90
0,29,35
0,89,64
0,48,87
0,69,60
0,26,49
0,25,50
0,97,69
1,9,81
0,4,14
0,86,65
1,13,64
1,5,72
0,56,51
0,33,64
1,5,38
0,6,18
0,40,33
0,95,35
0,19,43
0,89,85
0,28,39
0,57,1
0,24,64
0,30,19
0,96,16
0,60,95
0,33,82
1,15,81
0,55,23
0,92,35
0,34,100
0,25,78
0,77,11
0,73,62
1,17,90
0,52,9
0,49,61
0,76,35
0,53,94
0,63,90
0,31,62
0,74,80
0,28,23
0,47,64
0,39,100
0,67,87
0,90,8
1,27,86
1,8,37
0,83,4
1,1,13
1,14,89
0,18,34
0,29,25
0,85,32
0,66,64
0,75,7
1,9,81
0,94,31
1,7,31
0,63,87
0,97,62
0,52,91
1,21,72
0,43,22
0,79,24
0,26,63
0,52,76
0,100,46
0,42,9
0,96,47
0,87,21
0,23,42
0,80,75
1,0,19
0,70,71
0,81,31
0,36,76
0,95,70
0,94,51
0,27,1
0,54,79
0,90,40
0,80,42
1,4,69
1,8,38
0,22,25
0,96,63
0,89,37
0,49,26
1,13,79
0,9,19
0,71,60
0,93,54
0,16,15
0,17,47
0,8,3
0,98,47
0,85,9
0,29,45
1,4,92
0,53,12
0,75,54
1,14,86
0,86,18
0,66,28
0,12,21
0,100,93
1,13,49
0,47,12
0,27,5
0,58,36
0,97,3
1,11,84
0,80,82
0,91,35
0,14,17
0,69,74
0,39,10
0,63,12
0,85,64
0,93,52
0,73,37
0,93,81
0,79,18
0,56,73
0,29,64
0,56,45
0,21,30
0,79,94
1,2,28
0,62,17
1,19,68
0,83,14
1,2,97
0,45,70
0,84,19
0,97,38
0,49,68
1,17,76
0,55,93
0,35,35
1,2,52
1,5,61
0,18,3
1,28,94
0,39,34
0,71,86
1,10,42
0,77,18
0,99,38
0,70,56
0,79,15
1,19,82
0,67,86
0,69,38
0,56,31
0,96,95
0,35,71
0,30,68
0,88,96
0,52,84
0,46,67
0,72,29
0,61,38
0,15,33
0,29,42
0,47,98
0,90,15
0,35,6
1,7,62
0,67,18
0,26,25
0,60,30
0,41,95
1,22,94
0,56,64
0,39,96
0,98,99
0,72,1
0,80,49
0,97,86
0,76,12
0,47,60
0,79,63
0,37,0
0,83,10
0,61,98
0,45,67
0,75,64
0,91,2
0,79,84
1,11,73
1,13,45
1,18,96
0,47,62
0,76,78
0,70,58
0,41,34
1,6,54
1,12,78
1,2,33
0,50,55
0,32,20
0,86,38
1,0,53
1,2,28
0,59,78
0,78,89
0,9,11
0,26,16
0,48,40
0,8,0
0,95,34
0,63,43
0,3,11
1,13,75
0,92,68
0,73,85
0,87,3
0,33,55
0,63,51
0,90,39
0,100,49
0,62,51
0,21,6
0,61,13
0,57,44
0,26,82
1,2,37
0,36,89
1,27,88
0,98,29
0,35,74
0,44,90
0,31,79
0,75,50
0,76,87
0,37,6
0,70,94
1,15,97
0,56,31
0,90,14
0,93,49
0,95,34
0,86,89
0,68,4
0,42,15
0,15,37
1,20,98
0,99,67
0,32,20
0,57,57
0,96,57
0,28,70
0,47,67
0,81,55
0,83,50
0,25,15
0,10,20
0,96,35
0,84,36
0,80,75
1,11,69
0,96,28
0,35,40
0,86,16
0,49,35
1,8,81
0,59,79
0,36,47
0,32,91
0,52,65
0,69,0
0,77,25
0,49,63
0,12,10
1,6,74
1,6,41
0,82,89
0,54,78
1,19,91
1,12,76
0,88,61
0,61,21
0,28,83
0,15,8
0,96,80
0,42,2
0,64,41
0,43,27
0,75,10
1,9,82
0,72,43
1,3,38
0,22,34
0,38,10
0,50,7
0,35,4
0,64,18
0,1,6
0,46,81
0,72,49
0,96,74
0,18,32
0,29,3
1,25,91
0,50,99
0,99,2
0,62,76
1,0,96
1,15,66
1,3,48
0,46,51
0,31,42
0,28,4
0,69,76
0,22,66
0,26,81
0,95,20
0,62,75
1,4,57
1,4,46
0,75,79
0,88,56
0,71,29
0,32,26
0,64,23
1,16,94
0,62,74
0,60,54
0,66,100
0,57,34
0,86,73
0,32,32
0,96,97
0,51,53
0,93,18
0,10,29
0,33,98
0,76,65
0,53,77
0,94,76
0,96,43
1,4,80
0,61,89
0,93,89
0,48,83
0,75,23
0,82,53
0,50,70
0,41,39
